variance,max H,max S,max V,H*S,ok not ok,
861,178,178,255,31684,1,
801,178,178,255,31684,1,
834,178,180,255,32040,1,
834,178,180,255,32040,1,
838,179,180,255,32220,1,
838,179,180,255,32220,1,
802,179,181,255,32399,1,
621,177,177,255,31329,1,
514,177,175,255,30975,1,
505,177,177,255,31329,1,
533,177,176,255,31152,1,
542,178,177,255,31506,1,
532,178,187,255,33286,1,
532,178,187,255,33286,1,
498,179,198,255,35442,1,
498,179,198,255,35442,1,
630,177,199,255,35223,1,
556,178,200,255,35600,1,
564,177,199,255,35223,1,
622,177,198,255,35046,1,
698,177,202,255,35754,1,
663,176,198,255,34848,1,
663,176,198,255,34848,1,
599,176,193,255,33968,1,
530,176,186,255,32736,1,
490,177,193,255,34161,1,
464,178,192,255,34176,1,
518,176,199,255,35024,1,
561,177,195,255,34515,1,
569,178,199,255,35422,1,
530,177,199,255,35223,1,
468,178,207,255,36846,1,
449,179,219,255,39201,1,
415,178,215,255,38270,1,
413,176,217,255,38192,1,
507,177,217,255,38409,1,
991,177,211,255,37347,1,
2250,178,191,255,33998,1,
1650,179,191,255,34189,1,
772,179,190,255,34010,1,
436,179,181,255,32399,1,
343,179,170,255,30430,1,
329,178,168,255,29904,1,
353,177,178,255,31506,1,
391,177,178,255,31506,1,
461,177,177,255,31329,1,
502,177,178,255,31506,1,
594,177,179,255,31683,1,
1540,177,174,255,30798,1,
748,176,176,255,30976,1,
532,177,181,255,32037,1,
568,179,181,255,32399,1,
554,178,182,255,32396,1,
536,178,183,255,32574,1,
500,178,197,255,35066,1,
501,178,213,255,37914,1,
419,179,193,255,34547,1,
277,179,193,255,34547,1,
265,179,193,255,34547,1,
256,179,190,255,34010,1,
264,178,185,255,32930,1,
609,179,181,255,32399,1,
609,179,181,255,32399,1,
239,179,180,255,32220,1,
238,179,181,255,32399,1,
237,179,181,255,32399,1,
774,178,131,255,23318,1,
745,178,131,255,23318,1,
724,177,132,255,23364,1,
684,177,132,255,23364,1,
684,177,132,255,23364,1,
663,178,132,255,23496,1,
596,178,132,255,23496,1,
565,179,134,255,23986,1,
525,177,136,255,24072,1,
351,177,152,255,26904,1,
369,177,151,255,26727,1,
438,177,151,255,26727,1,
471,178,152,255,27056,1,
471,178,152,255,27056,1,
461,175,147,255,25725,1,
158,178,149,255,26522,1,
130,178,152,255,27056,1,
191,179,151,255,27029,1,
183,177,155,255,27435,1,
187,178,165,255,29370,1,
185,178,166,255,29548,1,
173,178,163,255,29014,1,
184,177,165,255,29205,1,
188,178,165,255,29370,1,
160,178,163,255,29014,1,
134,178,160,255,28480,1,
378,178,160,255,28480,1,
279,177,166,255,29382,1,
257,178,166,255,29548,1,
224,177,165,255,29205,1,
224,177,165,255,29205,1,
169,179,161,255,28819,1,
179,178,162,255,28836,1,
290,178,162,255,28836,1,
390,178,161,255,28658,1,
395,179,158,255,28282,1,
404,179,156,255,27924,1,
404,179,158,255,28282,1,
385,179,161,255,28819,1,
399,177,162,255,28674,1,
418,177,164,255,29028,1,
207,178,162,255,28836,1,
211,178,163,255,29014,1,
213,179,160,255,28640,1,
177,179,147,255,26313,1,
172,179,138,255,24702,1,
175,179,142,255,25418,1,
190,178,144,255,25632,1,
227,179,145,255,25955,1,
269,179,142,255,25418,1,
270,179,142,255,25418,1,
379,179,145,255,25955,1,
427,179,151,255,27029,1,
485,179,159,255,28461,1,
465,178,166,255,29548,1,
490,178,167,255,29726,1,
519,179,167,255,29893,1,
499,176,162,255,28512,1,
521,176,160,255,28160,1,
493,177,154,255,27258,1,
400,179,143,255,25597,1,
367,179,142,255,25418,1,
325,178,143,255,25454,1,
259,177,140,255,24780,1,
146,177,130,255,23010,1,
96,178,122,255,21716,1,
60,178,119,255,21182,1,
38,178,116,255,20648,1,
24,176,117,255,20592,1,
24,176,118,255,20768,1,
22,177,120,255,21240,1,
22,178,120,255,21360,1,
29,178,122,255,21716,1,
35,178,123,255,21894,1,
37,177,121,255,21417,1,
33,176,120,255,21120,1,
28,175,120,255,21000,1,
24,177,117,255,20709,1,
23,177,116,255,20532,1,
22,177,116,255,20532,1,
22,178,116,255,20648,1,
22,177,114,255,20178,1,
20,176,114,255,20064,1,
18,176,114,255,20064,1,
17,176,114,255,20064,1,
19,177,114,255,20178,1,
19,177,113,255,20001,1,
19,178,114,255,20292,1,
18,178,114,255,20292,1,
18,177,116,255,20532,1,
92,179,117,255,20943,1,
91,178,118,255,21004,1,
87,179,118,255,21122,1,
81,178,120,255,21360,1,
82,179,121,255,21659,1,
86,178,122,255,21716,1,
89,178,123,255,21894,1,
88,176,121,255,21296,1,
90,174,120,255,20880,1,
103,174,103,255,17922,1,
134,175,98,255,17150,1,
179,176,96,255,16896,1,
241,176,94,255,16544,1,
