variance,max H,max S,max V,H*S,ok not ok
2.40E+03,172,125,255,21500,1
2.40E+03,172,125,255,21500,1
2.40E+03,172,125,255,21500,1
2.40E+03,172,125,255,21500,1
2.36E+03,172,125,255,21500,1
2.36E+03,172,125,255,21500,1
2.36E+03,172,125,255,21500,1
2.34E+03,174,122,255,21228,1
2.34E+03,174,122,255,21228,1
2.34E+03,174,122,255,21228,1
2.34E+03,174,122,255,21228,1
2.34E+03,174,122,255,21228,1
2.34E+03,174,122,255,21228,1
2.34E+03,174,122,255,21228,1
2.37E+03,174,123,255,21402,1
2.19E+03,174,122,255,21228,1
2.19E+03,174,122,255,21228,1
2.29E+03,171,126,255,21546,1
2.29E+03,171,126,255,21546,1
2.29E+03,171,126,255,21546,1
2.29E+03,171,126,255,21546,1
2.29E+03,171,126,255,21546,1
2.29E+03,171,126,255,21546,1
2.29E+03,171,126,255,21546,1
2.29E+03,171,126,255,21546,1
2.29E+03,171,126,255,21546,1
2.08E+03,171,126,255,21546,1
2.16E+03,172,116,255,19952,1
2.16E+03,172,116,255,19952,1
2.16E+03,172,116,255,19952,1
2.16E+03,172,116,255,19952,1
2.16E+03,172,116,255,19952,1
2.16E+03,172,116,255,19952,1
2.16E+03,172,116,255,19952,1
2.16E+03,172,116,255,19952,1
2.16E+03,172,116,255,19952,1
2.16E+03,172,116,255,19952,1
2.64E+03,171,126,255,21546,1
2.42E+03,171,125,255,21375,1
2.45E+03,172,125,255,21500,1
2.42E+03,171,125,255,21375,1
2.42E+03,171,125,255,21375,1
2.42E+03,171,125,255,21375,1
2.42E+03,171,125,255,21375,1
2.42E+03,171,125,255,21375,1
2.42E+03,171,125,255,21375,1
2.42E+03,171,125,255,21375,1
2.74E+03,168,129,255,21672,1
2.74E+03,168,129,255,21672,1
2.45E+03,169,129,255,21801,1
2.45E+03,169,129,255,21801,1
2.45E+03,169,129,255,21801,1
2.45E+03,169,129,255,21801,1
2.45E+03,169,129,255,21801,1
2.45E+03,169,129,255,21801,1
2.45E+03,169,129,255,21801,1
2.45E+03,169,129,255,21801,1
2.75E+03,170,132,255,22440,1
2.75E+03,170,132,255,22440,1
2.75E+03,170,132,255,22440,1
2.46E+03,170,132,255,22440,1
2.46E+03,170,132,255,22440,1
2.46E+03,170,132,255,22440,1
2.46E+03,170,132,255,22440,1
2.46E+03,170,132,255,22440,1
2.46E+03,170,132,255,22440,1
2.46E+03,170,132,255,22440,1
2.57E+03,171,129,255,22059,1
2.57E+03,171,129,255,22059,1
2.57E+03,171,129,255,22059,1
2.57E+03,171,129,255,22059,1
2.23E+03,171,129,255,22059,1
2.23E+03,171,129,255,22059,1
2.23E+03,171,129,255,22059,1
2.23E+03,171,129,255,22059,1
2.23E+03,171,129,255,22059,1
2.23E+03,171,129,255,22059,1
2.29E+03,170,129,255,21930,1
2.29E+03,170,129,255,21930,1
2.29E+03,170,129,255,21930,1
2.29E+03,170,129,255,21930,1
2.31E+03,170,129,255,21930,1
1.94E+03,170,129,255,21930,1
1.94E+03,170,129,255,21930,1
1.94E+03,170,129,255,21930,1
1.94E+03,170,129,255,21930,1
1.94E+03,170,129,255,21930,1
2.46E+03,172,128,255,22016,1
2.46E+03,172,128,255,22016,1
2.46E+03,172,128,255,22016,1
2.46E+03,172,128,255,22016,1
2.46E+03,172,128,255,22016,1
2.46E+03,172,128,255,22016,1
2.46E+03,172,128,255,22016,1
2.09E+03,172,129,255,22188,1
2.11E+03,172,129,255,22188,1
2.09E+03,172,129,255,22188,1
2.34E+03,169,128,255,21632,1
2.34E+03,169,128,255,21632,1
2.34E+03,169,128,255,21632,1
2.34E+03,169,128,255,21632,1
2.34E+03,169,128,255,21632,1
2.34E+03,169,128,255,21632,1
2.34E+03,169,128,255,21632,1
2.34E+03,169,128,255,21632,1
2.00E+03,169,129,255,21801,1
2.00E+03,169,129,255,21801,1
2.35E+03,169,125,255,21125,1
2.35E+03,169,125,255,21125,1
2.35E+03,169,125,255,21125,1
2.35E+03,169,125,255,21125,1
2.35E+03,169,125,255,21125,1
2.35E+03,169,125,255,21125,1
2.35E+03,169,125,255,21125,1
2.35E+03,169,125,255,21125,1
2.35E+03,169,125,255,21125,1
2.05E+03,169,125,255,21125,1
2.10E+03,172,131,255,22532,1
2.10E+03,172,131,255,22532,1
2.10E+03,172,131,255,22532,1
2.10E+03,172,131,255,22532,1
2.10E+03,172,131,255,22532,1
2.10E+03,172,131,255,22532,1
2.10E+03,172,131,255,22532,1
2.10E+03,172,131,255,22532,1
2.10E+03,172,131,255,22532,1
2.10E+03,172,131,255,22532,1
2.05E+03,171,127,255,21717,1
2.05E+03,171,127,255,21717,1
2.05E+03,171,127,255,21717,1
2.05E+03,171,127,255,21717,1
2.05E+03,171,127,255,21717,1
2.05E+03,171,127,255,21717,1
2.05E+03,171,127,255,21717,1
2.05E+03,171,127,255,21717,1
2.05E+03,171,127,255,21717,1
2.05E+03,171,127,255,21717,1
2.46E+03,171,134,255,22914,1
2.08E+03,171,135,255,23085,1
2.08E+03,171,135,255,23085,1
2.08E+03,171,135,255,23085,1
2.08E+03,171,135,255,23085,1
2.08E+03,171,135,255,23085,1
2.08E+03,171,135,255,23085,1
2.08E+03,171,135,255,23085,1
2.08E+03,171,135,255,23085,1
2.08E+03,171,135,255,23085,1
2.37E+03,172,131,255,22532,1
2.37E+03,172,131,255,22532,1
2.03E+03,172,131,255,22532,1
2.03E+03,172,131,255,22532,1
2.03E+03,172,131,255,22532,1
2.03E+03,172,131,255,22532,1
2.03E+03,172,131,255,22532,1
2.03E+03,172,131,255,22532,1
2.03E+03,172,131,255,22532,1
2.03E+03,172,131,255,22532,1
1.91E+03,176,99,255,17424,1
1.91E+03,176,99,255,17424,1
1.77E+03,176,99,255,17424,1
1.41E+03,176,99,255,17424,1
1.41E+03,176,99,255,17424,1
